Operator,Registration,Aircraft Type,MSN,Update Type,Status/Notes
Air Canada Rouge,C-GARJ,Airbus A319 (319-114),752,Update,Back in service 10/2021
Air Canada Rouge,C-GBHR,Airbus A319 (319-114),785,Update,Back in service 11/2021
Air Canada Rouge,C-GBIM,Airbus A319 (319-114),840,Update,Back in service 11/2021
Air Canada Rouge,C-GFDU,Airbus A320 (320-214),3149,Update,Back in service 11/2021
Air Canada Rouge,C-FYXF,Airbus A321 (321-211),5038,Update,Back in service 11/2021
Air Canada Rouge,C-GHPJ,Airbus A321 (321-211),5733,Update,Back in service 11/2021
Air Canada Rouge,C-GHQG,Airbus A321 (321-211),6210,Update,Back in service 11/2021
Air Canada Rouge,C-GHLV,Boeing 767 (767-333ER),30852 (843),Update,Back in service 11/2021
Air Caraibes,F-ORLY,Airbus A330 (330-323X),758,Update,Parked since 09/2021
Air Caraibes,F-OSIV,ATR 42/72 (72-600),1467,Update,Back in service 10/2021
Air China,B-326C,Airbus A321 (321-251NX),10266,New,Delivery 27/10/2021
Air China,B-6073,Airbus A330 (330-243),780,Update,Back in service 11/2021
Air China,B-6079,Airbus A330 (330-243),810,Update,Parked since 09/2021
Air China,B-6081,Airbus A330 (330-243),839,Update,Parked since 10/2021
Air China,B-651X,Comac ARJ21 (ARJ21-700),168,New,Delivery 13/11/2021
Air China,B-2472,Boeing 747 (747-4J6),30158 (1243),Update,Back in service 11/2021
Air China,B-2487,Boeing 747 (747-89L),44932 (1508),Update,Back in service 11/2021
Air China,B-2836,Boeing 757 (757-2Z0PCF),27258 (595),Update,Back in service 10/2021
Air China,B-1430,Boeing 777 (777-39LER),63357 (1516),Update,Parked since 10/2021
Air Cote Ivoire,TU-TSI,Dash 8 (DHC-8 402),4514,Update,Parked since 08/2021
Air Europa,EC-LXV,Boeing 737 NG / Max (737-85P),36594 (4666),Update,Parked since 10/2021
Air Europa Express,EC-LCQ,Embraer 190/195 (195LR),303,Update,Returned to lessor 10/2021
Air France,F-GUGD,Airbus A318 (318-111),2081,Update,Parked since 10/2021
Air France,F-GUGO,Airbus A318 (318-111),2951,Update,Parked since 10/2021
Air France,F-GRHP,Airbus A319 (319-111),1344,Update,Back in service 10/2021
Air France,F-GKXY,Airbus A320 (320-214),4105,Update,Back in service 11/2021
Air France,F-HBNI,Airbus A320 (320-214),4820,Update,Parked since 10/2021
Air France,F-GTAU,Airbus A321 (321-212),3814,Update,Back in service 11/2021
Air France,F-GTAX,Airbus A321 (321-212),3930,Update,Back in service 11/2021
