IATA_Code,ICAO_Code,Manufacturer,Model,Full_Designation,Common_Name,Generation,Category,Mission_Type,WTC,Status
74L,B74S,Boeing,747SP,Boeing 747SP,747SP,,4J,Passenger,,In Service
74M,,Boeing,747 Combi,Boeing 747 Combi,747 Combi,,,Passenger,,In Service
74N,B748,Boeing,747-8F,Boeing 747-8F,747-8F,,4J,Passenger,,In Service
74R,B74R,Boeing,747SR,Boeing 747SR,747SR,,4J,Passenger,,In Service
74T,B741,Boeing,747-100 Freighter,Boeing 747-100 Freighter,747-100 Freighter,,4J,Passenger,,In Service
74U,B743,Boeing,747-300 / 747-200 SUD Freighter,Boeing 747-300 / 747-200 SUD Freighter,747-300 / 747-200 SUD Freighter,,4J,Passenger,,In Service
74V,B74R,Boeing,747SR Freighter,Boeing 747SR Freighter,747SR Freighter,,4J,Passenger,,In Service
74X,B742,Boeing,747-200 Freighter,Boeing 747-200 Freighter,747-200 Freighter,,4J,Passenger,,In Service
74Y,B744,Boeing,747-400 Freighter,Boeing 747-400 Freighter,747-400 Freighter,,4J,Passenger,,In Service
752,B752,Boeing,757-200,Boeing 757-200,757-200,,2J,Passenger,H,In Service
753,B753,Boeing,757-300,Boeing 757-300,757-300,,2J,Passenger,H,In Service
757,,Boeing,757,Boeing 757,757,,,Passenger,H,In Service
